id,parentId,visualId,QueryText,RowCount,result_sets,combined_query_hash,final_overall_hash
b2099692-519a-4dea-9941-888c3d77edf9,c22c8aa6-4bcb-455d-bfd9-52a6b38ef4c4,c22adfcca77c7baf5f51,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(__DS0FilterTable, __DS0FilterTable2, ""Returns"", IGNORE('Analysis DAX'[Returns]))",1.0,1,89e8fe844b7a0485662d0f04f072b7c04a59e924873ad8ff62475c48ea48e2e3,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
15be3836-c2a4-4292-bb1a-2b1e0e997d67,df0b0b84-2d53-4ead-bcc4-fde13ae36c84,449292750b491085de51,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		__DS0FilterTable2,
		""Units_Returned"", IGNORE('Analysis DAX'[Units Returned])
	)",1.0,1,4e3ba58e45d8dd7ddade016f172f4c64fb1526ffe7875e553f57f6ff8b28f602,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
7321fcdf-8038-4ca6-bbe1-db6ed61b32ed,74cb19ea-a95b-4948-adb9-74b4993a1a80,dec3aad399d5d19a1d11,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		__DS0FilterTable2,
		""Returns_Indicator"", IGNORE('Design DAX'[Returns Indicator])
	)",1.0,1,0fa65bb6b55a58d1cd6a7f158738f177277cc6c8970f31472dbbbfced87dd219,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
c522e7a5-6296-4d1b-9452-14bf176f7e39,ed0de61c-4f73-46d3-81a3-fb4d845017dd,bdbdc676ded10ad92c90,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		__DS0FilterTable2,
		""Units_Returned_Indicator"", IGNORE('Design DAX'[Units Returned Indicator])
	)",1.0,1,0fa65bb6b55a58d1cd6a7f158738f177277cc6c8970f31472dbbbfced87dd219,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
deadec48-2d61-4e3c-9c22-4051d2ec4639,3f8f03f4-14ea-4703-9b35-9f8cc26bfdb8,3a28c5fee26bd29ff352,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

	VAR __DS0Core = 
		SUMMARIZECOLUMNS(
			'Product'[Product],
			__DS0FilterTable,
			__DS0FilterTable2,
			""Returns"", 'Analysis DAX'[Returns],
			""ProductR_Top_N"", IGNORE('Design DAX'[ProductR Top N])
		)

	VAR __DS0PrimaryWindowed = 
		TOPN(1001, __DS0Core, [Returns], 0, 'Product'[Product], 1)

EVALUATE
	__DS0PrimaryWindowed

ORDER BY
	[Returns] DESC, 'Product'[Product]",24.0,1,49273cd3d4d8f7a687df974cf0d63a99544a03537270e78ac94a321c48387409,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
0c216dc7-69fe-4386-9c9d-b1b925b4fd5f,6282e1c4-cf25-4344-adef-7d10df1fb83d,d55aa7aa40745de10d55,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

	VAR __DS0Core = 
		SUMMARIZECOLUMNS(
			'Store'[Store],
			__DS0FilterTable,
			__DS0FilterTable2,
			""Returns"", 'Analysis DAX'[Returns],
			""StoreR_Top_N"", IGNORE('Design DAX'[StoreR Top N])
		)

	VAR __DS0PrimaryWindowed = 
		TOPN(1001, __DS0Core, [Returns], 0, 'Store'[Store], 1)

EVALUATE
	__DS0PrimaryWindowed

ORDER BY
	[Returns] DESC, 'Store'[Store]",13.0,1,992dce43ed2634048db38c72acd43427dd7ab853444c054d27c40a3cf5e2b421,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
0f71f5d3-75c1-4ecf-8d04-da5dc093160c,d40a9b1c-b016-48e9-8a7f-6ffa5b761024,f7d6a1d47a420554ca7c,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(__DS0FilterTable, __DS0FilterTable2, ""Returns"", IGNORE('Analysis DAX'[Returns]))",1.0,1,89e8fe844b7a0485662d0f04f072b7c04a59e924873ad8ff62475c48ea48e2e3,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
48d10c98-b3c3-4ef3-9719-9235fc616ad7,6d990104-5e26-42fa-8d17-ae79473d959a,c61b21c44b14a094006b,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		__DS0FilterTable2,
		""Units_Returned"", IGNORE('Analysis DAX'[Units Returned])
	)",1.0,1,4e3ba58e45d8dd7ddade016f172f4c64fb1526ffe7875e553f57f6ff8b28f602,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
de769c5e-bc91-4738-a1b5-8af355511d96,a09980d0-82e4-40cf-9400-f353bedd3fe2,0f5634d99d04030c346e,"DEFINE
	VAR __DS0FilterTable = 
		TREATAS({""Returned""}, 'Sales'[Status])

	VAR __DS0FilterTable2 = 
		TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		__DS0FilterTable2,
		""MinEmpty"", IGNORE(CALCULATE(MIN('Tooltip Info'[Empty])))
	)",1.0,1,bf3b72873b105c202bd18b2025d0b6becbcd63c5ab45b04704efd50dd91ed9f4,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
82bd947a-c0cb-48f5-87aa-2db65515b25e,14e4cc77-0fae-44fa-90db-9708a86ef10f,a03ed496f51eef7b5c23,"DEFINE VAR __DS0FilterTable = 
	TREATAS({""June""}, 'LocalDateTable_d9fbe243-4814-4038-8eec-593e864a563b'[Month])

EVALUATE
	SUMMARIZECOLUMNS(
		__DS0FilterTable,
		""MinEmpty"", IGNORE(CALCULATE(MIN('Tooltip Info'[Empty])))
	)",1.0,1,bf3b72873b105c202bd18b2025d0b6becbcd63c5ab45b04704efd50dd91ed9f4,b21af9321776ba8db715cb1ae33094c428ce635e51dba88469bfe4f6b87664e5
